Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","430","Liberia","5110","Area","6620","Cropland","2000","2000","1000 ha","610","I","Imputed value",""
"RL","Land Use","430","Liberia","5110","Area","6620","Cropland","2021","2021","1000 ha","700","I","Imputed value",""
"RL","Land Use","434","Libya","5110","Area","6620","Cropland","2000","2000","1000 ha","2150","I","Imputed value",""
"RL","Land Use","434","Libya","5110","Area","6620","Cropland","2021","2021","1000 ha","2050","I","Imputed value",""
"RL","Land Use","438","Liechtenstein","5110","Area","6620","Cropland","2000","2000","1000 ha","4","I","Imputed value",""
"RL","Land Use","438","Liechtenstein","5110","Area","6620","Cropland","2021","2021","1000 ha","1.73","I","Imputed value",""
"RL","Land Use","440","Lithuania","5110","Area","6620","Cropland","2000","2000","1000 ha","2921","A","Official figure",""
"RL","Land Use","440","Lithuania","5110","Area","6620","Cropland","2021","2021","1000 ha","2315.2","A","Official figure",""
"RL","Land Use","442","Luxembourg","5110","Area","6620","Cropland","2000","2000","1000 ha","63","A","Official figure",""
"RL","Land Use","442","Luxembourg","5110","Area","6620","Cropland","2021","2021","1000 ha","64.03","A","Official figure",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2000","2000","1000 ha","3500","I","Imputed value",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2021","2021","1000 ha","3600","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2000","2000","1000 ha","2880","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2021","2021","1000 ha","4200","I","Imputed value",""
"RL","Land Use","458","Malaysia","5110","Area","6620","Cropland","2000","2000","1000 ha","6653.7","I","Imputed value",""
"RL","Land Use","458","Malaysia","5110","Area","6620","Cropland","2021","2021","1000 ha","8286","I","Imputed value",""
"RL","Land Use","462","Maldives","5110","Area","6620","Cropland","2000","2000","1000 ha","8","I","Imputed value",""
"RL","Land Use","462","Maldives","5110","Area","6620","Cropland","2021","2021","1000 ha","4.9","I","Imputed value",""
"RL","Land Use","466","Mali","5110","Area","6620","Cropland","2000","2000","1000 ha","4665","I","Imputed value",""
"RL","Land Use","466","Mali","5110","Area","6620","Cropland","2021","2021","1000 ha","8491","I","Imputed value",""
"RL","Land Use","470","Malta","5110","Area","6620","Cropland","2000","2000","1000 ha","9","I","Imputed value",""
"RL","Land Use","470","Malta","5110","Area","6620","Cropland","2021","2021","1000 ha","8.75","I","Imputed value",""
"RL","Land Use","584","Marshall Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","8.5","I","Imputed value",""
"RL","Land Use","584","Marshall Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","7","I","Imputed value",""
"RL","Land Use","474","Martinique","5110","Area","6620","Cropland","2000","2000","1000 ha","21","A","Official figure",""
"RL","Land Use","474","Martinique","5110","Area","6620","Cropland","2021","2021","1000 ha","16.91","I","Imputed value",""
"RL","Land Use","478","Mauritania","5110","Area","6620","Cropland","2000","2000","1000 ha","460","I","Imputed value",""
"RL","Land Use","478","Mauritania","5110","Area","6620","Cropland","2021","2021","1000 ha","460","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2000","2000","1000 ha","94","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2021","2021","1000 ha","79","I","Imputed value",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2000","2000","1000 ha","20","I","Imputed value",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2021","2021","1000 ha","19.98","I","Imputed value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2000","2000","1000 ha","25378","I","Imputed value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2021","2021","1000 ha","22899","A","Official figure",""
"RL","Land Use","583","Micronesia (Federated States of)","5110","Area","6620","Cropland","2000","2000","1000 ha","2.5","I","Imputed value",""
"RL","Land Use","583","Micronesia (Federated States of)","5110","Area","6620","Cropland","2021","2021","1000 ha","2","I","Imputed value",""
"RL","Land Use","496","Mongolia","5110","Area","6620","Cropland","2000","2000","1000 ha","1176","A","Official figure",""
"RL","Land Use","496","Mongolia","5110","Area","6620","Cropland","2021","2021","1000 ha","1337.8","I","Imputed value",""
"RL","Land Use","499","Montenegro","5110","Area","6620","Cropland","2021","2021","1000 ha","14.4","A","Official figure",""
"RL","Land Use","500","Montserrat","5110","Area","6620","Cropland","2000","2000","1000 ha","2","I","Imputed value",""
"RL","Land Use","500","Montserrat","5110","Area","6620","Cropland","2021","2021","1000 ha","2","I","Imputed value",""
"RL","Land Use","504","Morocco","5110","Area","6620","Cropland","2000","2000","1000 ha","9652","A","Official figure",""
"RL","Land Use","504","Morocco","5110","Area","6620","Cropland","2021","2021","1000 ha","9291","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2000","2000","1000 ha","4150","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2021","2021","1000 ha","5950","I","Imputed value",""
"RL","Land Use","104","Myanmar","5110","Area","6620","Cropland","2000","2000","1000 ha","10498","A","Official figure",""
"RL","Land Use","104","Myanmar","5110","Area","6620","Cropland","2021","2021","1000 ha","12500","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2000","2000","1000 ha","820","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2021","2021","1000 ha","812","I","Imputed value",""
"RL","Land Use","520","Nauru","5110","Area","6620","Cropland","2000","2000","1000 ha","0.4","I","Imputed value",""
"RL","Land Use","520","Nauru","5110","Area","6620","Cropland","2021","2021","1000 ha","0.4","I","Imputed value",""
"RL","Land Use","524","Nepal","5110","Area","6620","Cropland","2000","2000","1000 ha","2463.1","I","Imputed value",""
"RL","Land Use","524","Nepal","5110","Area","6620","Cropland","2021","2021","1000 ha","2325.7","I","Imputed value",""
"RL","Land Use","528","Netherlands (Kingdom of the)","5110","Area","6620","Cropland","2000","2000","1000 ha","1057.7","A","Official figure",""
"RL","Land Use","528","Netherlands (Kingdom of the)","5110","Area","6620","Cropland","2021","2021","1000 ha","1040","A","Official figure",""
"RL","Land Use","530","Netherlands Antilles (former)","5110","Area","6620","Cropland","2000","2000","1000 ha","8","I","Imputed value",""
"RL","Land Use","540","New Caledonia","5110","Area","6620","Cropland","2000","2000","1000 ha","11","I","Imputed value",""
"RL","Land Use","540","New Caledonia","5110","Area","6620","Cropland","2021","2021","1000 ha","9.7","I","Imputed value",""
"RL","Land Use","554","New Zealand","5110","Area","6620","Cropland","2000","2000","1000 ha","453.8791","A","Official figure",""
"RL","Land Use","554","New Zealand","5110","Area","6620","Cropland","2021","2021","1000 ha","690","I","Imputed value",""
"RL","Land Use","558","Nicaragua","5110","Area","6620","Cropland","2000","2000","1000 ha","2151","A","Official figure",""
"RL","Land Use","558","Nicaragua","5110","Area","6620","Cropland","2021","2021","1000 ha","1799","I","Imputed value",""
"RL","Land Use","562","Niger","5110","Area","6620","Cropland","2000","2000","1000 ha","14000","I","Imputed value",""
"RL","Land Use","562","Niger","5110","Area","6620","Cropland","2021","2021","1000 ha","17813","I","Imputed value",""
"RL","Land Use","566","Nigeria","5110","Area","6620","Cropland","2000","2000","1000 ha","40800","I","Imputed value",""
"RL","Land Use","566","Nigeria","5110","Area","6620","Cropland","2021","2021","1000 ha","43472","I","Imputed value",""
"RL","Land Use","570","Niue","5110","Area","6620","Cropland","2000","2000","1000 ha","3.8","I","Imputed value",""
"RL","Land Use","570","Niue","5110","Area","6620","Cropland","2021","2021","1000 ha","3.8","I","Imputed value",""
"RL","Land Use","807","North Macedonia","5110","Area","6620","Cropland","2000","2000","1000 ha","599","A","Official figure",""
"RL","Land Use","807","North Macedonia","5110","Area","6620","Cropland","2021","2021","1000 ha","458","A","Official figure",""
"RL","Land Use","580","Northern Mariana Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","2","I","Imputed value",""
"RL","Land Use","580","Northern Mariana Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","0.17","I","Imputed value",""
"RL","Land Use","578","Norway","5110","Area","6620","Cropland","2000","2000","1000 ha","884","A","Official figure",""
"RL","Land Use","578","Norway","5110","Area","6620","Cropland","2021","2021","1000 ha","807","A","Official figure",""
"RL","Land Use","512","Oman","5110","Area","6620","Cropland","2000","2000","1000 ha","73","A","Official figure",""
"RL","Land Use","512","Oman","5110","Area","6620","Cropland","2021","2021","1000 ha","116.22","A","Official figure",""
"RL","Land Use","586","Pakistan","5110","Area","6620","Cropland","2000","2000","1000 ha","31698","A","Official figure",""
"RL","Land Use","586","Pakistan","5110","Area","6620","Cropland","2021","2021","1000 ha","31303","I","Imputed value",""
"RL","Land Use","585","Palau","5110","Area","6620","Cropland","2000","2000","1000 ha","2.3","I","Imputed value",""
"RL","Land Use","585","Palau","5110","Area","6620","Cropland","2021","2021","1000 ha","2.3","I","Imputed value",""
"RL","Land Use","275","Palestine","5110","Area","6620","Cropland","2000","2000","1000 ha","191.2131","I","Imputed value",""
"RL","Land Use","275","Palestine","5110","Area","6620","Cropland","2021","2021","1000 ha","113.2","A","Official figure",""
"RL","Land Use","591","Panama","5110","Area","6620","Cropland","2000","2000","1000 ha","695","A","Official figure",""
"RL","Land Use","591","Panama","5110","Area","6620","Cropland","2021","2021","1000 ha","672.316","I","Imputed value",""
"RL","Land Use","598","Papua New Guinea","5110","Area","6620","Cropland","2000","2000","1000 ha","908","I","Imputed value",""
"RL","Land Use","598","Papua New Guinea","5110","Area","6620","Cropland","2021","2021","1000 ha","1251","I","Imputed value",""
"RL","Land Use","600","Paraguay","5110","Area","6620","Cropland","2000","2000","1000 ha","3110","A","Official figure",""
"RL","Land Use","600","Paraguay","5110","Area","6620","Cropland","2021","2021","1000 ha","4824","I","Imputed value",""
"RL","Land Use","604","Peru","5110","Area","6620","Cropland","2000","2000","1000 ha","5429.3","I","Imputed value",""
"RL","Land Use","604","Peru","5110","Area","6620","Cropland","2021","2021","1000 ha","6715.689","A","Official figure",""
"RL","Land Use","608","Philippines","5110","Area","6620","Cropland","2000","2000","1000 ha","9734","I","Imputed value",""
"RL","Land Use","608","Philippines","5110","Area","6620","Cropland","2021","2021","1000 ha","11183","I","Imputed value",""
"RL","Land Use","616","Poland","5110","Area","6620","Cropland","2000","2000","1000 ha","14330","A","Official figure",""
"RL","Land Use","616","Poland","5110","Area","6620","Cropland","2021","2021","1000 ha","11458.76","I","Imputed value",""
"RL","Land Use","620","Portugal","5110","Area","6620","Cropland","2000","2000","1000 ha","2539.42","A","Official figure",""
"RL","Land Use","620","Portugal","5110","Area","6620","Cropland","2021","2021","1000 ha","1831.8118","A","Official figure",""
"RL","Land Use","630","Puerto Rico","5110","Area","6620","Cropland","2000","2000","1000 ha","101.7","I","Imputed value",""
"RL","Land Use","630","Puerto Rico","5110","Area","6620","Cropland","2021","2021","1000 ha","66.2","I","Imputed value",""
"RL","Land Use","634","Qatar","5110","Area","6620","Cropland","2000","2000","1000 ha","16","I","Imputed value",""
"RL","Land Use","634","Qatar","5110","Area","6620","Cropland","2021","2021","1000 ha","24","A","Official figure",""
"RL","Land Use","410","Republic of Korea","5110","Area","6620","Cropland","2000","2000","1000 ha","1918","A","Official figure",""
"RL","Land Use","410","Republic of Korea","5110","Area","6620","Cropland","2021","2021","1000 ha","1547","A","Official figure",""
"RL","Land Use","498","Republic of Moldova","5110","Area","6620","Cropland","2000","2000","1000 ha","2162","A","Official figure",""
"RL","Land Use","498","Republic of Moldova","5110","Area","6620","Cropland","2021","2021","1000 ha","1937","A","Official figure",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2000","2000","1000 ha","41","A","Official figure",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2021","2021","1000 ha","36.82","I","Imputed value",""
"RL","Land Use","642","Romania","5110","Area","6620","Cropland","2000","2000","1000 ha","9908","A","Official figure",""
"RL","Land Use","642","Romania","5110","Area","6620","Cropland","2021","2021","1000 ha","8989","A","Official figure",""
"RL","Land Use","643","Russian Federation","5110","Area","6620","Cropland","2000","2000","1000 ha","126238","A","Official figure",""
"RL","Land Use","643","Russian Federation","5110","Area","6620","Cropland","2021","2021","1000 ha","123442","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2000","2000","1000 ha","1306","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2021","2021","1000 ha","1618.4","I","Imputed value",""
"RL","Land Use","654","Saint Helena, Ascension and Tristan da Cunha","5110","Area","6620","Cropland","2000","2000","1000 ha","4","I","Imputed value",""
"RL","Land Use","654","Saint Helena, Ascension and Tristan da Cunha","5110","Area","6620","Cropland","2021","2021","1000 ha","4","I","Imputed value",""
"RL","Land Use","659","Saint Kitts and Nevis","5110","Area","6620","Cropland","2000","2000","1000 ha","7.5","I","Imputed value",""
"RL","Land Use","659","Saint Kitts and Nevis","5110","Area","6620","Cropland","2021","2021","1000 ha","5.1","I","Imputed value",""
"RL","Land Use","662","Saint Lucia","5110","Area","6620","Cropland","2000","2000","1000 ha","12.9","I","Imputed value",""
"RL","Land Use","662","Saint Lucia","5110","Area","6620","Cropland","2021","2021","1000 ha","9.57","I","Imputed value",""
"RL","Land Use","666","Saint Pierre and Miquelon","5110","Area","6620","Cropland","2000","2000","1000 ha","3","I","Imputed value",""
"RL","Land Use","666","Saint Pierre and Miquelon","5110","Area","6620","Cropland","2021","2021","1000 ha","2","I","Imputed value",""
"RL","Land Use","670","Saint Vincent and the Grenadines","5110","Area","6620","Cropland","2000","2000","1000 ha","5","A","Official figure",""
"RL","Land Use","670","Saint Vincent and the Grenadines","5110","Area","6620","Cropland","2021","2021","1000 ha","5","I","Imputed value",""
"RL","Land Use","882","Samoa","5110","Area","6620","Cropland","2000","2000","1000 ha","45","I","Imputed value",""
"RL","Land Use","882","Samoa","5110","Area","6620","Cropland","2021","2021","1000 ha","43","I","Imputed value",""
"RL","Land Use","674","San Marino","5110","Area","6620","Cropland","2000","2000","1000 ha","1","I","Imputed value",""
"RL","Land Use","674","San Marino","5110","Area","6620","Cropland","2021","2021","1000 ha","2.3","I","Imputed value",""
"RL","Land Use","678","Sao Tome and Principe","5110","Area","6620","Cropland","2000","2000","1000 ha","35","I","Imputed value",""
"RL","Land Use","678","Sao Tome and Principe","5110","Area","6620","Cropland","2021","2021","1000 ha","42","I","Imputed value",""
"RL","Land Use","682","Saudi Arabia","5110","Area","6620","Cropland","2000","2000","1000 ha","3785","I","Imputed value",""
"RL","Land Use","682","Saudi Arabia","5110","Area","6620","Cropland","2021","2021","1000 ha","3637","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2000","2000","1000 ha","3377","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2021","2021","1000 ha","3911","I","Imputed value",""
"RL","Land Use","688","Serbia","5110","Area","6620","Cropland","2021","2021","1000 ha","2819","A","Official figure",""
"RL","Land Use","891","Serbia and Montenegro","5110","Area","6620","Cropland","2000","2000","1000 ha","3736","A","Official figure",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2000","2000","1000 ha","4","I","Imputed value",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2021","2021","1000 ha","1.55","I","Imputed value",""
"RL","Land Use","694","Sierra Leone","5110","Area","6620","Cropland","2000","2000","1000 ha","610","I","Imputed value",""
"RL","Land Use","694","Sierra Leone","5110","Area","6620","Cropland","2021","2021","1000 ha","1749","I","Imputed value",""
"RL","Land Use","702","Singapore","5110","Area","6620","Cropland","2000","2000","1000 ha","1.2","I","Imputed value",""
"RL","Land Use","702","Singapore","5110","Area","6620","Cropland","2021","2021","1000 ha","0.66","I","Imputed value",""
"RL","Land Use","703","Slovakia","5110","Area","6620","Cropland","2000","2000","1000 ha","1575","A","Official figure",""
"RL","Land Use","703","Slovakia","5110","Area","6620","Cropland","2021","2021","1000 ha","1344","A","Official figure",""
"RL","Land Use","705","Slovenia","5110","Area","6620","Cropland","2000","2000","1000 ha","204","A","Official figure",""
"RL","Land Use","705","Slovenia","5110","Area","6620","Cropland","2021","2021","1000 ha","233.35","A","Official figure",""
"RL","Land Use","090","Solomon Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","69","I","Imputed value",""
"RL","Land Use","090","Solomon Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","112","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2000","2000","1000 ha","1067","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2021","2021","1000 ha","1129","I","Imputed value",""
"RL","Land Use","710","South Africa","5110","Area","6620","Cropland","2000","2000","1000 ha","14197","I","Imputed value",""
"RL","Land Use","710","South Africa","5110","Area","6620","Cropland","2021","2021","1000 ha","12413","I","Imputed value",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","2479.7","I","Imputed value",""
"RL","Land Use","724","Spain","5110","Area","6620","Cropland","2000","2000","1000 ha","18304","A","Official figure",""
"RL","Land Use","724","Spain","5110","Area","6620","Cropland","2021","2021","1000 ha","16609.8164","A","Official figure",""
"RL","Land Use","144","Sri Lanka","5110","Area","6620","Cropland","2000","2000","1000 ha","1910","A","Official figure",""
"RL","Land Use","144","Sri Lanka","5110","Area","6620","Cropland","2021","2021","1000 ha","2372","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","736","Sudan (former)","5110","Area","6620","Cropland","2000","2000","1000 ha","16350","A","Official figure",""
"RL","Land Use","740","Suriname","5110","Area","6620","Cropland","2000","2000","1000 ha","67","A","Official figure",""
"RL","Land Use","740","Suriname","5110","Area","6620","Cropland","2021","2021","1000 ha","62","A","Official figure",""
"RL","Land Use","752","Sweden","5110","Area","6620","Cropland","2000","2000","1000 ha","2602.2","A","Official figure",""
"RL","Land Use","752","Sweden","5110","Area","6620","Cropland","2021","2021","1000 ha","2538.65","A","Official figure",""
"RL","Land Use","756","Switzerland","5110","Area","6620","Cropland","2000","2000","1000 ha","431.9221","A","Official figure",""
"RL","Land Use","756","Switzerland","5110","Area","6620","Cropland","2021","2021","1000 ha","420.6904","A","Official figure",""
"RL","Land Use","760","Syrian Arab Republic","5110","Area","6620","Cropland","2000","2000","1000 ha","5352","A","Official figure",""
"RL","Land Use","760","Syrian Arab Republic","5110","Area","6620","Cropland","2021","2021","1000 ha","5726.617","I","Imputed value",""
"RL","Land Use","762","Tajikistan","5110","Area","6620","Cropland","2000","2000","1000 ha","886","I","Imputed value",""
"RL","Land Use","762","Tajikistan","5110","Area","6620","Cropland","2021","2021","1000 ha","1042","A","Official figure",""
"RL","Land Use","764","Thailand","5110","Area","6620","Cropland","2000","2000","1000 ha","21095","I","Imputed value",""
"RL","Land Use","764","Thailand","5110","Area","6620","Cropland","2021","2021","1000 ha","22700","I","Imputed value",""
"RL","Land Use","626","Timor-Leste","5110","Area","6620","Cropland","2000","2000","1000 ha","187","I","Imputed value",""
"RL","Land Use","626","Timor-Leste","5110","Area","6620","Cropland","2021","2021","1000 ha","191.4","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2000","2000","1000 ha","2400","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2021","2021","1000 ha","2820","I","Imputed value",""
"RL","Land Use","772","Tokelau","5110","Area","6620","Cropland","2000","2000","1000 ha","0.6","I","Imputed value",""
"RL","Land Use","772","Tokelau","5110","Area","6620","Cropland","2021","2021","1000 ha","0.6","I","Imputed value",""
"RL","Land Use","776","Tonga","5110","Area","6620","Cropland","2000","2000","1000 ha","26","I","Imputed value",""
"RL","Land Use","776","Tonga","5110","Area","6620","Cropland","2021","2021","1000 ha","31","I","Imputed value",""
"RL","Land Use","780","Trinidad and Tobago","5110","Area","6620","Cropland","2000","2000","1000 ha","60","I","Imputed value",""
"RL","Land Use","780","Trinidad and Tobago","5110","Area","6620","Cropland","2021","2021","1000 ha","47","I","Imputed value",""
"RL","Land Use","788","Tunisia","5110","Area","6620","Cropland","2000","2000","1000 ha","4990","A","Official figure",""
"RL","Land Use","788","Tunisia","5110","Area","6620","Cropland","2021","2021","1000 ha","4950.5","A","Official figure",""
"RL","Land Use","792","Türkiye","5110","Area","6620","Cropland","2000","2000","1000 ha","26379","A","Official figure",""
"RL","Land Use","792","Türkiye","5110","Area","6620","Cropland","2021","2021","1000 ha","23473","A","Official figure",""
"RL","Land Use","795","Turkmenistan","5110","Area","6620","Cropland","2000","2000","1000 ha","2000","I","Imputed value",""
"RL","Land Use","795","Turkmenistan","5110","Area","6620","Cropland","2021","2021","1000 ha","2000","I","Imputed value",""
"RL","Land Use","796","Turks and Caicos Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","1","I","Imputed value",""
"RL","Land Use","796","Turks and Caicos Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","1","I","Imputed value",""
"RL","Land Use","798","Tuvalu","5110","Area","6620","Cropland","2000","2000","1000 ha","2","I","Imputed value",""
"RL","Land Use","798","Tuvalu","5110","Area","6620","Cropland","2021","2021","1000 ha","1.8","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2000","2000","1000 ha","7400","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2021","2021","1000 ha","9100","I","Imputed value",""
"RL","Land Use","804","Ukraine","5110","Area","6620","Cropland","2000","2000","1000 ha","33496","A","Official figure",""
"RL","Land Use","804","Ukraine","5110","Area","6620","Cropland","2021","2021","1000 ha","33777","A","Official figure",""
"RL","Land Use","784","United Arab Emirates","5110","Area","6620","Cropland","2000","2000","1000 ha","247","A","Official figure",""
"RL","Land Use","784","United Arab Emirates","5110","Area","6620","Cropland","2021","2021","1000 ha","91.5615","A","Official figure",""
"RL","Land Use","826","United Kingdom of Great Britain and Northern Ireland","5110","Area","6620","Cropland","2000","2000","1000 ha","5928","A","Official figure",""
"RL","Land Use","826","United Kingdom of Great Britain and Northern Ireland","5110","Area","6620","Cropland","2021","2021","1000 ha","6055.8189","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2000","2000","1000 ha","10000","I","Imputed value",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2021","2021","1000 ha","15521.2","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2000","2000","1000 ha","178068","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2021","2021","1000 ha","160436.8","I","Imputed value",""
"RL","Land Use","850","United States Virgin Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","3","I","Imputed value",""
"RL","Land Use","850","United States Virgin Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","1.1","I","Imputed value",""
"RL","Land Use","858","Uruguay","5110","Area","6620","Cropland","2000","2000","1000 ha","1415","A","Official figure",""
"RL","Land Use","858","Uruguay","5110","Area","6620","Cropland","2021","2021","1000 ha","2069.605","I","Imputed value",""
"RL","Land Use","860","Uzbekistan","5110","Area","6620","Cropland","2000","2000","1000 ha","4828","I","Imputed value",""
"RL","Land Use","860","Uzbekistan","5110","Area","6620","Cropland","2021","2021","1000 ha","4437.5","A","Official figure",""
"RL","Land Use","548","Vanuatu","5110","Area","6620","Cropland","2000","2000","1000 ha","133","I","Imputed value",""
"RL","Land Use","548","Vanuatu","5110","Area","6620","Cropland","2021","2021","1000 ha","145","I","Imputed value",""
"RL","Land Use","862","Venezuela (Bolivarian Republic of)","5110","Area","6620","Cropland","2000","2000","1000 ha","3395","I","Imputed value",""
"RL","Land Use","862","Venezuela (Bolivarian Republic of)","5110","Area","6620","Cropland","2021","2021","1000 ha","3300","I","Imputed value",""
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2000","2000","1000 ha","8138","I","Imputed value",""
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2021","2021","1000 ha","11718","I","Imputed value",""
"RL","Land Use","876","Wallis and Futuna Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","6","I","Imputed value",""
"RL","Land Use","876","Wallis and Futuna Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","6","I","Imputed value",""
"RL","Land Use","732","Western Sahara","5110","Area","6620","Cropland","2000","2000","1000 ha","4","I","Imputed value",""
"RL","Land Use","732","Western Sahara","5110","Area","6620","Cropland","2021","2021","1000 ha","4","I","Imputed value",""
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2000","2000","1000 ha","1669","A","Official figure",""
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2021","2021","1000 ha","1452","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2000","2000","1000 ha","2876","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2021","2021","1000 ha","3839","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2000","2000","1000 ha","3700","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2021","2021","1000 ha","4100","I","Imputed value",""
